2026-03-03 11:30:23.679 | INFO     | app.agents.orchestrator:chat:358 - 🤖 Agente: Infelizmente, não encontrei avisos novos relevantes para turistas em Lisboa neste momento. 

Se prec...
2026-03-03 11:30:23.681 | INFO     | app.services.n8n_service:enviar_resposta_usuario:65 - [SIMULADO - N8N] Para 5541988368783: 🏛️ *AVISO GOVERNAMENTAL OFICIAL: LISBON* 📄

Infelizmente, não encontrei avisos novos relevantes para turistas em Lisboa neste momento. 

Se precisar de mais informações ou ajuda com qualquer outro aspecto da sua viagem, estou à disposição! 🌍✨
2026-03-03 11:30:23.682 | INFO     | app.services.scheduler_service:monitor_government_alerts:473 - 📢 Alerta governamental enviado para 5541988368783 sobre LISBON
2026-03-03 11:30:44.628 | INFO     | app.services.scheduler_service:monitor_park_wait_times:331 - 🎡 Monitorando filas dos parques para usuários ativos...
2026-03-03 11:35:44.625 | INFO     | app.services.flights_service:__init__:19 - ✅ Flights Service inicializado
2026-03-03 11:35:44.626 | INFO     | app.services.scheduler_service:monitor_active_flights:260 - ✈️ Monitor de Pouso: Verificando voos ativos...
2026-03-03 11:35:44.628 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-04: strptime() argument 1 must be str, not None
2026-03-03 11:35:44.628 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-26: strptime() argument 1 must be str, not None
2026-03-03 11:35:44.629 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D0-Place_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 11:35:44.629 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip geo_TEST_user_777_Frankfurt_2026-02-25: strptime() argument 1 must be str, not None
2026-03-03 11:35:44.630 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D7-Place_2026-03-05: strptime() argument 1 must be str, not None
2026-03-03 11:35:44.631 | ERROR    | app.services.scheduler_service:monitor_active_flights:293 - Erro no monitor de pouso para trip test_USER_alerts_999_D1-Place_2026-02-27: strptime() argument 1 must be str, not None
